visualization_filename, serialization
('BPIC15_3_rev/process_tree_case_size_betwee_15_and_18_noise_60.svg', "->( 'Record submission date request', X( tau, +( X( tau, 'Document date termination request received' ), 'Direct to the competent authority', 'Normal procedure without MER', 'Period application received', ->( +( *( 'Log senddate procedure confirmation', tau ), ->( 'OLO messaging ongoing', X( tau, +( 'Log senddate acknowledgement', ->( X( tau, 'Reception through OLO system' ), +( 'Applicant is involved', ->( X( tau, 'grant temporary permit' ), X( tau, ->( X( tau, ->( X( 'MER shown', 'Environmental Report needed' ), 'Activities for regular procedure', 'Phased application', X( tau, ->( 'First or second stage', 'Duration of 14 or 26 weeks' ) ) ) ), X( tau, ->( X( tau, 'Register date publication' ), 'Inform BAG administrator' ) ), X( *( 'Register date of publishing received request', tau ), ->( 'Initiate phased application', 'View field phased application' ), ->( X( 'Announce', ->( X( tau, ->( 'Create letter to request missing data', 'Phase requested more information' ) ), 'Start WABOprocedure', 'Create procedure confirmation' ) ), 'Create subcases completeness' ), ->( X( 'Record senddate retrieve missing data', ->( 'Log termination decision date', X( 'cease activities after request termination', 'Document deadline' ), 'Record senddate for confirmation request' ) ), 'Send procedure confirmation' ) ), 'Process subcases completeness', 'Subcases completeness done', 'Update procedure', X( tau, ->( 'WAW permit element', 'multiple components chosen' ) ), 'Fulfill request', 'Period for supplying missing data', X( tau, 'Fetch missing data' ) ) ) ) ) ) ) ) ) ), X( tau, 'Competent authority action' ) ) ) ), X( tau, 'Pause term', 'Close the file', ->( 'Procedure phase terminated prematurely', 'Generate terminate request message' ), ->( 'Gain additional information', 'Remain indefinitely suspended', 'Creating permanent suspension decision' ) ) )")
('BPIC15_3_rev/process_tree_case_size_betwee_15_and_18_noise_70.svg', "->( 'Record submission date request', X( tau, ->( +( 'Direct to the competent authority', 'Normal procedure without MER', 'Applicant is involved', 'Period application received', ->( X( tau, ->( 'OLO messaging ongoing', +( 'Log senddate acknowledgement', *( 'Issue confirmation receipt', tau ) ) ), ->( X( tau, ->( X( 'MER shown', 'Environmental Report needed' ), 'Activities for regular procedure', 'Phased application', 'First or second stage', 'Duration of 14 or 26 weeks' ) ), X( ->( 'Create procedure confirmation', 'Announce', 'Create subcases completeness', 'Create letter to request missing data', 'Phase requested more information', 'Start WABOprocedure' ), ->( X( tau, ->( 'Initiate phased application', 'View field phased application' ) ), +( 'Document date termination request received', 'Log senddate procedure confirmation' ), X( 'grant temporary permit', ->( 'Log termination decision date', X( 'cease activities after request termination', 'Document deadline' ), 'Record senddate for confirmation request' ) ), 'Send procedure confirmation' ) ), X( tau, 'Record senddate retrieve missing data' ) ) ), X( tau, 'WAW permit element' ) ) ), 'Process subcases completeness', 'Subcases completeness done', 'Update procedure', X( tau, 'multiple components chosen' ), 'Fulfill request', 'Period for supplying missing data', 'Fetch missing data' ) ), X( tau, 'Pause term', 'Close the file', ->( 'Procedure phase terminated prematurely', 'Generate terminate request message' ), ->( 'Gain additional information', 'Remain indefinitely suspended', 'Creating permanent suspension decision' ) ) )")
('BPIC15_3_rev/process_tree_case_size_betwee_15_and_18_noise_80.svg', "->( 'Record submission date request', X( tau, +( 'Direct to the competent authority', ->( +( 'Normal procedure without MER', X( ->( 'OLO messaging ongoing', X( tau, ->( 'Reception through OLO system', 'WAW permit element' ) ), 'Applicant is involved', 'Period application received', *( 'Issue confirmation receipt', tau ), 'Log senddate acknowledgement' ), ->( X( 'MER shown', 'Environmental Report needed' ), 'Activities for regular procedure', 'Phased application', X( 'Create procedure confirmation', ->( 'First or second stage', 'Duration of 14 or 26 weeks' ) ), X( 'Record senddate retrieve missing data', ->( 'Announce', 'Create subcases completeness', 'Create letter to request missing data', 'Phase requested more information', 'Initiate phased application', 'View field phased application', 'Start WABOprocedure', +( 'Document date termination request received', 'Log senddate procedure confirmation' ), X( 'grant temporary permit', ->( 'Log termination decision date', X( 'cease activities after request termination', 'Document deadline' ), 'Record senddate for confirmation request' ) ) ) ), 'Send procedure confirmation', 'Register date of publishing received request', 'Process subcases completeness', 'Subcases completeness done' ) ) ), 'Update procedure', X( tau, 'multiple components chosen' ), 'Fulfill request', 'Period for supplying missing data', 'Fetch missing data' ) ) ), X( 'Pause term', 'Close the file', ->( 'Procedure phase terminated prematurely', 'Generate terminate request message' ), ->( 'Gain additional information', 'Remain indefinitely suspended', 'Creating permanent suspension decision' ) ) )")
('BPIC15_3_rev/process_tree_case_size_betwee_15_and_18_noise_90.svg', "->( 'Record submission date request', X( tau, +( 'Direct to the competent authority', ->( +( 'Normal procedure without MER', X( ->( 'OLO messaging ongoing', 'Reception through OLO system', 'WAW permit element', 'Applicant is involved', 'Period application received', *( 'Issue confirmation receipt', tau ), 'Log senddate acknowledgement' ), ->( X( 'MER shown', 'Environmental Report needed' ), 'Activities for regular procedure', 'Phased application', X( 'Create procedure confirmation', ->( 'First or second stage', 'Duration of 14 or 26 weeks' ) ), X( 'Record senddate retrieve missing data', ->( 'Announce', 'Create subcases completeness', 'Create letter to request missing data', 'Phase requested more information', 'Initiate phased application', 'View field phased application', 'Start WABOprocedure', +( 'Document date termination request received', 'Log senddate procedure confirmation' ), X( 'grant temporary permit', ->( 'Log termination decision date', X( 'cease activities after request termination', 'Document deadline' ), 'Record senddate for confirmation request' ) ) ) ), 'Send procedure confirmation', 'Register date of publishing received request', 'Process subcases completeness', 'Subcases completeness done' ) ) ), 'Update procedure', X( tau, 'multiple components chosen' ), 'Fulfill request', 'Period for supplying missing data', 'Fetch missing data' ) ) ), X( 'Pause term', 'Close the file', ->( 'Procedure phase terminated prematurely', 'Generate terminate request message' ), ->( 'Gain additional information', 'Remain indefinitely suspended', 'Creating permanent suspension decision' ) ) )")
('BPIC15_3_rev/process_tree_case_size_betwee_17_and_19_noise_10.svg', "->( 'Record submission date request', +( 'Direct to the competent authority', 'Normal procedure without MER', X( tau, *( 'Log senddate procedure confirmation', tau ) ), 'Period application received', ->( X( tau, 'OLO messaging ongoing' ), +( X( tau, 'Log senddate acknowledgement' ), ->( X( tau, 'Reception through OLO system' ), +( X( tau, 'Period application receptive' ), ->( +( X( tau, 'Phase procedure terminated' ), ->( +( X( tau, 'Document date termination request received' ), ->( +( X( tau, 'Record senddate for confirmation request' ), ->( +( *( 'Issue confirmation receipt', tau ), ->( X( tau, ->( 'Log termination decision date', X( tau, 'Document deadline' ) ) ), +( X( tau, 'Terminate on request' ), ->( +( X( tau, 'Applicant is involved' ), ->( X( tau, 'Inform BAG administrator' ), *( ->( X( 'Record senddate retrieve missing data', ->( X( tau, 'Register date of publishing received request' ), X( tau, 'Send procedure confirmation' ), X( tau, ->( X( tau, +( X( tau, 'Create subcases completeness' ), ->( +( X( tau, 'Create procedure confirmation' ), X( tau, ->( X( tau, ->( 'Process subcases completeness', X( tau, 'Subcases completeness done' ) ) ), X( ->( 'WAW permit element', X( tau, 'multiple components chosen' ) ), 'Update procedure' ), 'Fulfill request', X( tau, ->( 'Period for supplying missing data', X( tau, 'Create letter to request missing data' ) ) ) ) ) ), X( tau, 'Announce' ) ) ) ), X( tau, 'Start WABOprocedure' ) ) ) ) ), X( tau, +( X( tau, 'Fetch missing data' ), X( tau, 'Phase requested more information' ) ) ) ), tau ) ) ), X( tau, 'Extend procedure period' ) ) ) ) ), X( tau, ->( 'Draft termination decision on request', 'Enact termination decision on request', X( tau, 'cease activities after request termination' ) ) ) ) ), X( tau, 'Competent authority action' ) ) ), X( tau, +( 'Generate terminate request message', ->( X( tau, ->( 'Message to terminate request', 'View publication date field' ) ), 'Procedure phase terminated prematurely' ) ) ) ) ), X( tau, ->( 'Send letter in progress', X( tau, 'Process subcases content' ) ) ) ) ) ) ) ) ), X( tau, 'Pause term', 'Register date publication', 'Close the file', 'Log senddate for termination request', ->( 'Gain additional information', 'Remain indefinitely suspended', 'Creating permanent suspension decision' ) ) )")
('BPIC15_3_rev/process_tree_case_size_betwee_17_and_19_noise_20.svg', "->( 'Record submission date request', +( 'Direct to the competent authority', 'Normal procedure without MER', ->( +( *( 'Issue confirmation receipt', tau ), 'Period application received', ->( +( X( tau, 'Log senddate procedure confirmation' ), ->( X( tau, 'OLO messaging ongoing' ), X( tau, 'Applicant is involved' ), 'Log senddate acknowledgement', X( tau, 'Reception through OLO system' ), X( tau, 'Document date termination request received' ) ) ), X( tau, +( X( tau, 'Record senddate for confirmation request' ), ->( 'Log termination decision date', X( tau, 'Document deadline' ) ) ) ) ) ), X( tau, ->( 'Send procedure confirmation', X( tau, 'Terminate on request' ) ) ), X( tau, ->( X( tau, ->( 'Process subcases completeness', 'Subcases completeness done' ) ), +( X( tau, *( 'Start WABOprocedure', tau ) ), ->( *( ->( X( 'Create procedure confirmation', ->( 'Update procedure', 'Fulfill request', 'Period for supplying missing data', X( tau, 'Create letter to request missing data' ) ) ), X( tau, 'Announce' ), X( tau, 'Create subcases completeness' ) ), tau ), X( tau, +( 'Fetch missing data', X( tau, 'Phase requested more information' ) ) ) ) ) ) ) ) ), X( tau, 'Record senddate retrieve missing data', ->( X( ->( 'Draft termination decision on request', 'Enact termination decision on request' ), +( 'Generate terminate request message', ->( X( tau, ->( 'Message to terminate request', 'View publication date field' ) ), 'Procedure phase terminated prematurely' ) ) ), 'Phase procedure terminated' ) ), X( tau, 'Pause term', 'Register date publication', 'Close the file', 'Log senddate for termination request', ->( 'Gain additional information', 'Remain indefinitely suspended', 'Creating permanent suspension decision' ) ) )")
('BPIC15_3_rev/process_tree_case_size_betwee_17_and_19_noise_30.svg', "->( 'Record submission date request', +( 'Direct to the competent authority', 'Normal procedure without MER', ->( X( tau, 'OLO messaging ongoing' ), X( tau, 'Applicant is involved' ), +( *( 'Issue confirmation receipt', tau ), 'Period application received', ->( +( X( tau, 'Log senddate procedure confirmation' ), ->( 'Log senddate acknowledgement', 'Reception through OLO system', X( tau, 'Document date termination request received' ) ) ), X( tau, +( X( tau, 'Record senddate for confirmation request' ), ->( 'Log termination decision date', X( tau, 'Document deadline' ) ) ) ) ) ), X( tau, ->( 'Send procedure confirmation', X( tau, 'Terminate on request' ) ) ), X( tau, ->( 'Process subcases completeness', 'Subcases completeness done' ) ), +( X( tau, *( 'Start WABOprocedure', tau ) ), ->( *( ->( X( 'Create procedure confirmation', ->( 'Update procedure', 'Fulfill request', 'Period for supplying missing data', X( tau, 'Create letter to request missing data' ) ) ), X( tau, 'Announce' ), X( tau, 'Create subcases completeness' ) ), tau ), X( tau, +( 'Fetch missing data', X( tau, 'Phase requested more information' ) ) ) ) ) ) ), X( tau, 'Record senddate retrieve missing data', ->( X( ->( 'Draft termination decision on request', 'Enact termination decision on request' ), +( 'Generate terminate request message', ->( X( tau, ->( 'Message to terminate request', 'View publication date field' ) ), 'Procedure phase terminated prematurely' ) ) ), 'Phase procedure terminated' ) ), X( tau, 'Pause term', 'Register date publication', 'Close the file', 'Log senddate for termination request', ->( 'Gain additional information', 'Remain indefinitely suspended', 'Creating permanent suspension decision' ) ) )")
('BPIC15_3_rev/process_tree_case_size_betwee_17_and_19_noise_40.svg', "->( 'Record submission date request', +( 'Direct to the competent authority', 'Normal procedure without MER', X( tau, *( 'Log senddate procedure confirmation', tau ) ), 'Period application received', ->( 'OLO messaging ongoing', +( 'Log senddate acknowledgement', ->( X( tau, 'Reception through OLO system' ), +( 'Applicant is involved', ->( X( tau, 'grant temporary permit' ), +( *( 'Issue confirmation receipt', tau ), ->( X( tau, 'No permit necessary or only notification needed' ), +( X( tau, 'Period application receptive' ), ->( +( X( tau, 'Phase procedure terminated' ), ->( +( X( tau, 'Document date termination request received' ), ->( +( X( tau, 'Record senddate for confirmation request' ), ->( X( tau, ->( 'Log termination decision date', 'Document deadline' ) ), +( X( tau, 'Terminate on request' ), ->( X( tau, 'Inform BAG administrator' ), X( tau, ->( +( X( tau, *( 'Register date of publishing received request', tau ) ), 'Send procedure confirmation' ), X( tau, ->( 'Process subcases completeness', 'Subcases completeness done', X( tau, ->( 'WAW permit element', X( tau, 'multiple components chosen' ) ) ) ) ) ) ), +( *( 'Start WABOprocedure', tau ), ->( X( tau, ->( 'Create procedure confirmation', X( tau, 'Announce' ), 'Create subcases completeness' ) ), 'Update procedure', 'Fulfill request', 'Period for supplying missing data', X( tau, 'Create letter to request missing data' ), X( tau, +( 'Fetch missing data', X( tau, 'Phase requested more information' ) ) ) ) ), X( tau, 'Record senddate retrieve missing data' ), X( tau, 'Extend procedure period' ) ) ), X( tau, ->( 'Draft termination decision on request', 'Enact termination decision on request', X( tau, 'cease activities after request termination' ) ) ) ) ), X( tau, 'Competent authority action' ) ) ), X( tau, +( 'Generate terminate request message', ->( X( tau, ->( 'Message to terminate request', 'View publication date field' ) ), 'Procedure phase terminated prematurely' ) ) ) ) ), X( tau, ->( 'Send letter in progress', X( tau, 'Process subcases content' ) ) ) ) ) ) ) ) ) ) ) ) ), X( tau, 'Pause term', 'Register date publication', 'Close the file', 'Log senddate for termination request', ->( 'Gain additional information', 'Remain indefinitely suspended', 'Creating permanent suspension decision' ) ) )")
('BPIC15_3_rev/process_tree_case_size_betwee_17_and_19_noise_50.svg', "->( 'Record submission date request', X( tau, +( 'Direct to the competent authority', 'Normal procedure without MER', X( tau, *( 'Log senddate procedure confirmation', tau ) ), 'Period application received', ->( 'OLO messaging ongoing', +( 'Log senddate acknowledgement', ->( X( tau, 'Reception through OLO system' ), +( 'Applicant is involved', ->( X( tau, 'grant temporary permit' ), X( tau, ->( X( tau, 'No permit necessary or only notification needed' ), +( X( tau, 'Phase procedure terminated' ), ->( +( X( tau, 'Document date termination request received' ), ->( +( X( tau, 'Record senddate for confirmation request' ), ->( X( tau, ->( 'Log termination decision date', 'Document deadline' ) ), +( X( tau, 'Terminate on request' ), ->( X( tau, 'Inform BAG administrator' ), +( X( tau, *( 'Register date of publishing received request', tau ) ), 'Send procedure confirmation' ), 'Process subcases completeness', 'Subcases completeness done', X( tau, ->( 'WAW permit element', 'multiple components chosen' ) ), +( X( tau, 'Start WABOprocedure' ), 'Create procedure confirmation' ), X( tau, 'Announce' ), 'Create subcases completeness', 'Update procedure', 'Fulfill request', 'Period for supplying missing data', X( tau, 'Create letter to request missing data' ), X( tau, 'Fetch missing data' ), X( tau, 'Phase requested more information' ), X( tau, 'Record senddate retrieve missing data' ), X( tau, 'Extend procedure period' ) ) ), X( tau, ->( 'Draft termination decision on request', 'Enact termination decision on request', X( tau, 'cease activities after request termination' ) ) ) ) ), X( tau, 'Competent authority action' ) ) ), X( tau, +( 'Generate terminate request message', ->( 'Message to terminate request', 'View publication date field', 'Procedure phase terminated prematurely' ) ) ) ) ) ) ) ) ) ) ) ) ) ), X( tau, 'Pause term', 'Register date publication', 'Close the file', 'Log senddate for termination request', ->( 'Gain additional information', 'Remain indefinitely suspended', 'Creating permanent suspension decision' ) ) )")
('BPIC15_3_rev/process_tree_case_size_betwee_17_and_19_noise_60.svg', "->( 'Record submission date request', X( tau, +( 'Direct to the competent authority', 'Normal procedure without MER', *( 'Log senddate procedure confirmation', tau ), 'Period application received', ->( 'OLO messaging ongoing', +( 'Log senddate acknowledgement', ->( X( tau, 'Reception through OLO system' ), +( 'Applicant is involved', ->( X( tau, 'grant temporary permit' ), X( tau, ->( X( tau, 'No permit necessary or only notification needed' ), +( X( tau, 'Phase procedure terminated' ), ->( +( X( tau, 'Document date termination request received' ), ->( +( X( tau, 'Record senddate for confirmation request' ), ->( X( tau, ->( 'Log termination decision date', 'Document deadline' ) ), +( X( tau, 'Terminate on request' ), ->( X( tau, 'Inform BAG administrator' ), +( X( tau, *( 'Register date of publishing received request', tau ) ), 'Send procedure confirmation' ), 'Process subcases completeness', 'Subcases completeness done', X( tau, ->( 'WAW permit element', 'multiple components chosen' ) ), +( X( tau, 'Start WABOprocedure' ), 'Create procedure confirmation' ), X( tau, 'Announce' ), 'Create subcases completeness', 'Update procedure', 'Fulfill request', 'Period for supplying missing data', 'Create letter to request missing data', 'Fetch missing data', 'Phase requested more information', X( tau, 'Record senddate retrieve missing data' ), X( tau, 'Extend procedure period' ) ) ), X( tau, ->( 'Draft termination decision on request', 'Enact termination decision on request', X( tau, 'cease activities after request termination' ) ) ) ) ), X( tau, 'Competent authority action' ) ) ), X( tau, +( 'Generate terminate request message', ->( 'Message to terminate request', 'View publication date field', 'Procedure phase terminated prematurely' ) ) ) ) ) ) ) ) ) ) ) ) ) ), X( tau, 'Pause term', 'Register date publication', 'Close the file', 'Log senddate for termination request', ->( 'Gain additional information', 'Remain indefinitely suspended', 'Creating permanent suspension decision' ) ) )")
('BPIC15_3_rev/process_tree_case_size_betwee_17_and_19_noise_70.svg', "->( 'Record submission date request', X( tau, ->( X( ->( 'Log senddate procedure confirmation', 'Document date termination request received', +( 'Record senddate for confirmation request', ->( 'Log termination decision date', 'Document deadline' ) ) ), ->( 'OLO messaging ongoing', X( 'Reception through OLO system', +( 'Applicant is involved', 'Period application received' ) ), *( 'Issue confirmation receipt', tau ), X( tau, 'No permit necessary or only notification needed' ), 'Log senddate acknowledgement', +( X( tau, 'Start WABOprocedure' ), 'Create procedure confirmation' ), 'Announce', 'Create subcases completeness' ) ), X( tau, 'grant temporary permit' ), *( X( ->( 'Normal procedure without MER', X( 'Send procedure confirmation', 'Direct to the competent authority' ) ), ->( 'Process subcases completeness', 'Subcases completeness done', 'Update procedure', 'Fulfill request', 'Period for supplying missing data', 'Create letter to request missing data' ) ), tau ), X( tau, 'Extend procedure period' ), X( tau, ->( 'Terminate on request', 'Draft termination decision on request', 'Enact termination decision on request' ) ), X( tau, +( 'Generate terminate request message', ->( 'Message to terminate request', 'View publication date field', 'Procedure phase terminated prematurely' ) ) ), X( tau, 'Phase procedure terminated' ) ) ), X( 'Pause term', 'Register date publication', 'Close the file', 'Log senddate for termination request', ->( 'Gain additional information', 'Remain indefinitely suspended', 'Creating permanent suspension decision' ) ) )")
('BPIC15_3_rev/process_tree_case_size_betwee_17_and_19_noise_80.svg', "->( 'Record submission date request', X( tau, ->( X( tau, ->( +( 'Applicant is involved', 'Period application received', ->( X( ->( 'OLO messaging ongoing', X( tau, 'Reception through OLO system' ), *( 'Issue confirmation receipt', tau ), 'Log senddate acknowledgement' ), ->( 'Log senddate procedure confirmation', 'Document date termination request received', +( 'Record senddate for confirmation request', ->( 'Log termination decision date', 'Document deadline' ) ) ) ), X( tau, 'WAW permit element' ) ) ), X( tau, 'Create letter to request missing data' ), 'Direct to the competent authority', X( tau, 'Inform BAG administrator', 'grant temporary permit' ), 'Normal procedure without MER', 'Send procedure confirmation', 'Process subcases completeness', 'Subcases completeness done' ) ), 'Update procedure', X( tau, 'multiple components chosen' ), 'Fulfill request', 'Period for supplying missing data' ) ), X( 'Pause term', 'Register date publication', 'Close the file', 'Log senddate for termination request', ->( 'Gain additional information', 'Remain indefinitely suspended', 'Creating permanent suspension decision' ) ) )")
('BPIC15_3_rev/process_tree_case_size_betwee_17_and_19_noise_90.svg', "->( 'Record submission date request', X( tau, ->( X( tau, ->( +( 'Applicant is involved', 'Period application received', ->( X( ->( 'OLO messaging ongoing', X( tau, 'Reception through OLO system' ), *( 'Issue confirmation receipt', tau ), 'Log senddate acknowledgement' ), ->( 'Log senddate procedure confirmation', 'Document date termination request received', +( 'Record senddate for confirmation request', ->( 'Log termination decision date', 'Document deadline' ) ) ) ), X( tau, 'WAW permit element' ) ) ), 'Create letter to request missing data', 'Direct to the competent authority', X( 'Inform BAG administrator', 'grant temporary permit' ), 'Normal procedure without MER', 'Send procedure confirmation', 'Process subcases completeness', 'Subcases completeness done' ) ), 'Update procedure', X( tau, 'multiple components chosen' ), 'Fulfill request', 'Period for supplying missing data' ) ), X( 'Pause term', 'Register date publication', 'Close the file', 'Log senddate for termination request', ->( 'Gain additional information', 'Remain indefinitely suspended', 'Creating permanent suspension decision' ) ) )")
('BPIC15_3_rev/process_tree_case_size_betwee_18_and_19_noise_10.svg', "->( 'Record submission date request', X( tau, 'OLO messaging ongoing' ), +( 'Direct to the competent authority', 'Normal procedure without MER', X( tau, 'Phase procedure terminated' ), 'Period application received', ->( +( X( tau, 'Document date termination request received' ), ->( +( X( tau, 'Record senddate for confirmation request' ), ->( +( X( tau, 'Terminate on request' ), ->( +( *( 'Issue confirmation receipt', tau ), ->( +( X( tau, 'Applicant is involved' ), ->( X( tau, 'No permit necessary or only notification needed' ), 'Log senddate acknowledgement', X( tau, +( X( tau, 'Reception through OLO system' ), 'Log senddate procedure confirmation' ) ) ) ), X( tau, 'Log termination decision date' ) ) ), X( tau, 'grant temporary permit', 'Document deadline' ), *( ->( X( tau, ->( 'Record senddate retrieve missing data', X( tau, 'Register date of publishing received request' ) ) ), X( tau, ->( X( tau, 'Send procedure confirmation' ), X( tau, ->( X( tau, ->( 'Process subcases completeness', 'Subcases completeness done', X( tau, ->( 'WAW permit element', 'multiple components chosen' ) ) ) ), *( ->( X( tau, 'Create procedure confirmation' ), +( X( tau, 'Announce' ), ->( X( tau, +( X( tau, 'Create subcases completeness' ), X( tau, 'Start WABOprocedure' ), X( tau, 'Update procedure' ) ) ), X( tau, ->( 'Fulfill request', 'Period for supplying missing data', X( tau, 'Create letter to request missing data' ) ) ) ) ) ), tau ) ) ) ) ), X( tau, +( X( tau, 'Fetch missing data' ), X( tau, 'Phase requested more information' ) ) ) ), tau ), X( tau, 'Extend procedure period' ) ) ), X( tau, ->( 'Draft termination decision on request', 'Enact termination decision on request', X( tau, 'cease activities after request termination' ) ) ) ) ), X( tau, 'Competent authority action' ) ) ), X( tau, ->( 'Generate terminate request message', 'Message to terminate request', 'View publication date field', 'Procedure phase terminated prematurely' ) ) ) ), X( tau, 'Close the file', 'Log senddate for termination request', ->( 'Gain additional information', 'Remain indefinitely suspended', 'Creating permanent suspension decision' ) ) )")
('BPIC15_3_rev/process_tree_case_size_betwee_18_and_19_noise_20.svg', "->( 'Record submission date request', X( tau, 'OLO messaging ongoing' ), +( 'Direct to the competent authority', 'Normal procedure without MER', X( tau, 'Phase procedure terminated' ), 'Period application received', ->( +( X( tau, 'Record senddate for confirmation request' ), ->( +( *( 'Issue confirmation receipt', tau ), ->( +( X( tau, 'Applicant is involved' ), ->( 'Log senddate acknowledgement', X( tau, +( 'Log senddate procedure confirmation', X( tau, ->( 'Reception through OLO system', 'Document date termination request received' ) ) ) ) ) ), X( tau, 'Log termination decision date' ) ) ), X( tau, ->( X( tau, 'Document deadline' ), 'Send procedure confirmation' ) ), X( tau, 'Extend procedure period', ->( X( tau, ->( 'Process subcases completeness', 'Subcases completeness done', X( tau, ->( 'WAW permit element', 'multiple components chosen' ) ) ) ), +( X( tau, *( 'Start WABOprocedure', tau ) ), ->( +( 'Fulfill request', *( X( 'Update procedure', ->( X( ->( 'Period for supplying missing data', X( tau, 'Create letter to request missing data' ) ), 'Create procedure confirmation' ), X( tau, 'Announce' ), X( tau, 'Create subcases completeness' ) ) ), tau ) ), +( 'Fetch missing data', X( tau, 'Phase requested more information' ) ) ) ) ) ), X( tau, 'Terminate on request' ), X( tau, ->( 'Draft termination decision on request', 'Enact termination decision on request', X( tau, 'cease activities after request termination' ) ) ) ) ), X( tau, 'Record senddate retrieve missing data' ), X( tau, ->( 'Generate terminate request message', 'Message to terminate request', 'View publication date field', 'Procedure phase terminated prematurely' ) ) ) ), X( tau, 'Close the file', 'Log senddate for termination request', ->( 'Gain additional information', 'Remain indefinitely suspended', 'Creating permanent suspension decision' ) ) )")
('BPIC15_3_rev/process_tree_case_size_betwee_18_and_19_noise_30.svg', "->( 'Record submission date request', X( tau, 'OLO messaging ongoing' ), +( 'Direct to the competent authority', 'Normal procedure without MER', X( tau, 'Phase procedure terminated' ), 'Period application received', ->( +( X( tau, 'Document date termination request received' ), ->( +( X( tau, 'Record senddate for confirmation request' ), ->( +( X( tau, 'Terminate on request' ), ->( X( tau, 'Applicant is involved' ), +( *( 'Issue confirmation receipt', tau ), ->( 'Log senddate acknowledgement', X( tau, 'Reception through OLO system' ) ) ), X( tau, 'Inform BAG administrator' ), X( tau, ->( 'Log senddate procedure confirmation', 'Log termination decision date' ) ), X( tau, ->( X( tau, 'grant temporary permit', 'Document deadline' ), 'Send procedure confirmation' ) ), +( 'Record senddate retrieve missing data', ->( X( tau, ->( 'Process subcases completeness', 'Subcases completeness done', X( tau, ->( 'WAW permit element', 'multiple components chosen' ) ) ) ), +( X( tau, *( 'Start WABOprocedure', tau ) ), ->( +( 'Fulfill request', *( X( 'Update procedure', ->( X( ->( 'Period for supplying missing data', X( tau, 'Create letter to request missing data' ) ), 'Create procedure confirmation' ), X( tau, 'Announce' ), X( tau, 'Create subcases completeness' ) ) ), tau ) ), +( 'Fetch missing data', X( tau, 'Phase requested more information' ) ) ) ) ) ), X( tau, 'Extend procedure period' ) ) ), X( tau, ->( 'Draft termination decision on request', 'Enact termination decision on request', X( tau, 'cease activities after request termination' ) ) ) ) ), X( tau, 'Competent authority action' ) ) ), X( tau, ->( 'Generate terminate request message', 'Message to terminate request', 'View publication date field', 'Procedure phase terminated prematurely' ) ) ) ), X( tau, 'Close the file', 'Log senddate for termination request', ->( 'Gain additional information', 'Remain indefinitely suspended', 'Creating permanent suspension decision' ) ) )")
('BPIC15_3_rev/process_tree_case_size_betwee_18_and_19_noise_40.svg', "->( 'Record submission date request', X( tau, 'OLO messaging ongoing' ), +( 'Direct to the competent authority', 'Normal procedure without MER', X( tau, 'Phase procedure terminated' ), 'Period application received', ->( +( X( tau, 'Document date termination request received' ), ->( +( X( tau, 'Record senddate for confirmation request' ), ->( +( X( tau, 'Terminate on request' ), ->( X( tau, 'Applicant is involved' ), +( *( 'Issue confirmation receipt', tau ), ->( 'Log senddate acknowledgement', X( tau, 'Reception through OLO system' ) ) ), X( tau, 'Inform BAG administrator' ), X( tau, ->( *( 'Log senddate procedure confirmation', tau ), 'Log termination decision date' ) ), X( tau, 'grant temporary permit', 'Document deadline' ), X( tau, 'Send procedure confirmation' ), X( tau, 'Register date of publishing received request' ), X( tau, ->( 'Process subcases completeness', 'Subcases completeness done' ) ), X( tau, ->( 'WAW permit element', 'multiple components chosen' ) ), +( *( 'Start WABOprocedure', tau ), ->( 'Create procedure confirmation', X( tau, 'Announce' ), 'Create subcases completeness', 'Update procedure', 'Fulfill request', 'Period for supplying missing data', X( tau, 'Create letter to request missing data' ), +( 'Fetch missing data', X( tau, 'Phase requested more information' ) ) ) ), X( tau, 'Record senddate retrieve missing data' ), X( tau, 'Extend procedure period' ) ) ), X( tau, ->( 'Draft termination decision on request', 'Enact termination decision on request', X( tau, 'cease activities after request termination' ) ) ) ) ), X( tau, 'Competent authority action' ) ) ), X( tau, ->( 'Generate terminate request message', 'Message to terminate request', 'View publication date field', 'Procedure phase terminated prematurely' ) ) ) ), X( tau, 'Close the file', 'Log senddate for termination request', ->( 'Gain additional information', 'Remain indefinitely suspended', 'Creating permanent suspension decision' ) ) )")
